CustomerID,Recency,Frequency,Monetary,Churn_Probability
12545.0,74,2,1000.39,0.74
12546.0,46,2,1161.5,0.24
12547.0,197,2,207.8,0.66
12548.0,165,1,95.2,0.36
12550.0,78,1,964.83,0.56
12551.0,357,1,168.0,0.31
12552.0,38,2,437.82,0.26
12553.0,7,10,3692.28,0.04
12556.0,49,2,603.71,0.45
12557.0,15,5,11990.96,0.11
12558.0,7,1,269.96,0.07
12559.0,310,2,561.71,0.45
12560.0,4,3,2134.01,0.12
12561.0,302,1,238.85,0.91
12562.0,7,7,3781.74,0.12
12564.0,260,1,456.9,0.35
12565.0,288,1,145.92,0.81
12566.0,85,1,351.65,0.97
12567.0,22,10,9401.28,0.0
12569.0,1,32,4124.69,0.0
12571.0,39,2,519.61,0.61
12572.0,8,2,1020.42,0.55
12573.0,226,1,160.54,0.48
12574.0,315,1,218.45,0.27
12576.0,35,5,1315.83,0.33
12577.0,34,3,657.8,0.16
12578.0,20,2,2794.51,0.13
12579.0,77,1,440.42,0.12
12580.0,246,1,415.7,0.81
12581.0,39,1,197.71,0.55
12582.0,238,2,511.36,0.57
12583.0,2,15,7281.38,0.0
12584.0,3,9,2338.15,0.0
12585.0,233,2,2040.1,0.27
12586.0,16,1,196.94,0.77
12587.0,7,1,144.0,0.37
12588.0,38,1,214.9,0.83
12589.0,28,2,646.68,0.69
12590.0,210,2,9864.26,0.58
12591.0,316,1,452.85,0.71
12592.0,91,2,437.6,0.14
12593.0,108,3,418.1,0.83
12594.0,37,10,3338.22,0.12
12596.0,50,2,618.27,0.56
12597.0,18,4,3811.22,0.05
12598.0,9,8,3023.08,0.03
12599.0,28,7,1032.58,0.08
12600.0,28,10,2599.04,0.03
12601.0,189,5,577.06,0.74
12602.0,58,1,153.12,0.64
12603.0,21,1,739.2,0.74
12604.0,78,2,254.18,0.44
12607.0,59,1,1579.51,0.75
12609.0,77,3,1126.85,0.14
12610.0,22,5,2099.54,0.04
12611.0,51,1,1193.32,0.53
12612.0,73,1,704.04,0.29
12613.0,56,5,3344.38,0.16
12614.0,277,1,315.6,0.48
12615.0,1,4,2291.19,0.21
12616.0,94,2,713.3,0.57
12617.0,28,1,355.53,0.28
12618.0,21,1,177.31,0.66
12619.0,15,9,3641.24,0.08
12620.0,14,3,1339.41,0.18
12621.0,1,20,13689.67,0.0
12622.0,231,1,180.1,0.87
12623.0,275,1,305.1,0.7
12624.0,105,2,641.13,0.37
12625.0,211,2,2683.82,0.47
12626.0,22,9,6620.48,0.01
12627.0,10,7,4478.53,0.04
12628.0,3,3,786.46,0.1
12630.0,9,2,1270.88,0.4
12631.0,56,1,640.5,0.83
12633.0,58,4,2163.98,0.11
12635.0,89,2,1689.18,0.38
12637.0,66,8,6021.9,0.03
12638.0,32,1,671.69,0.71
12639.0,238,1,486.1,0.98
12640.0,23,3,1174.58,0.14
12641.0,114,1,185.9,0.28
12642.0,24,3,1013.26,0.53
12643.0,127,6,3344.64,0.32
12644.0,129,1,477.91,0.72
12645.0,33,4,1775.18,0.18
12646.0,4,2,1346.97,0.51
12647.0,21,12,3722.82,0.11
12648.0,154,1,318.05,0.89
12649.0,106,3,623.51,0.42
12650.0,2,1,314.44,0.72
12651.0,334,1,114.0,0.84
12652.0,330,1,919.98,0.57
12653.0,148,2,2209.85,0.73
12654.0,10,5,601.98,0.38
12656.0,16,5,4051.17,0.09
12657.0,10,4,1643.18,0.54
12658.0,18,1,686.05,0.77
12659.0,29,1,91.68,0.35
12660.0,10,1,245.1,0.64
12662.0,0,11,3849.78,0.0
12664.0,7,9,4881.88,0.03
12665.0,324,1,63.0,0.92
12667.0,57,1,620.13,0.74
12668.0,11,4,3807.15,0.03
12669.0,150,3,2744.03,0.46
12670.0,9,5,2996.05,0.05
12672.0,329,1,225.9,0.29
12673.0,4,2,610.52,0.81
12674.0,38,4,1970.6,0.11
12676.0,24,6,1331.39,0.06
12678.0,41,12,17628.46,0.01
12679.0,58,4,1113.02,0.11
12680.0,0,4,862.81,0.42
12681.0,14,22,13787.54,0.0
12682.0,3,31,12288.22,0.0
12683.0,3,15,8476.57,0.0
12684.0,7,7,2283.63,0.0
12685.0,27,6,2863.08,0.02
12686.0,371,1,89.14,0.92
12688.0,113,1,4873.81,0.22
12689.0,25,2,1247.61,0.24
12690.0,205,1,389.01,0.86
12691.0,27,6,1035.8,0.34
12693.0,126,4,855.91,0.29
12694.0,69,2,869.67,0.56
12695.0,6,4,582.1,0.71
12697.0,28,3,957.59,0.13
12700.0,7,4,4939.99,0.12
12701.0,79,2,797.71,0.28
12702.0,19,1,219.0,0.59
12703.0,70,1,283.55,0.83
12704.0,6,8,2340.84,0.0
12705.0,14,9,6868.29,0.03
12707.0,291,1,603.42,0.82
12708.0,29,10,2712.91,0.0
12709.0,14,15,9736.52,0.0
12710.0,96,3,1149.02,0.32
12712.0,28,13,4396.13,0.0
12713.0,0,1,848.55,0.14
12714.0,8,5,4708.86,0.15
12715.0,105,1,353.86,0.28
12716.0,3,2,1053.49,0.64
12717.0,150,2,1030.98,0.72
12718.0,70,1,238.25,0.72
12719.0,4,2,644.95,0.6
12720.0,2,25,5781.73,0.0
12721.0,31,6,2656.13,0.05
12722.0,84,4,997.63,0.3
12723.0,3,5,725.07,0.59
12724.0,4,4,1031.41,0.77
12725.0,370,1,427.8,0.59
12726.0,27,7,2609.1,0.0
12727.0,10,7,3980.7,0.06
12728.0,70,4,836.33,0.2
12729.0,113,1,453.01,0.23
12731.0,23,12,18895.91,0.02
12732.0,179,1,236.26,0.64
12733.0,233,1,383.95,0.68
12734.0,352,1,110.4,0.84
12735.0,314,2,779.57,0.54
12736.0,332,1,234.0,0.81
12738.0,371,1,155.35,0.82
12739.0,77,2,1013.04,0.77
12740.0,63,1,427.6,0.41
12743.0,133,2,546.43,0.58
12744.0,51,7,21279.29,0.02
12747.0,1,11,4196.01,0.0
12748.0,0,209,33719.73,0.0
12749.0,3,5,4090.88,0.17
12750.0,128,1,275.88,0.29
12752.0,80,1,4366.78,0.36
12753.0,22,6,21429.39,0.38
12754.0,235,3,3010.74,0.47
12755.0,280,2,3811.95,0.53
12756.0,86,1,112.08,0.27
12757.0,15,13,7857.1,0.0
12758.0,116,2,2791.59,0.31
12759.0,51,3,1531.44,0.31
12762.0,7,2,1898.52,0.32
12763.0,137,2,494.08,0.34
12764.0,316,1,1693.88,0.53
12766.0,3,7,6989.63,0.07
12769.0,238,1,1143.6,0.66
12770.0,210,1,1351.45,0.86
12772.0,59,1,892.47,0.75
12775.0,16,5,1386.04,0.15
12778.0,19,6,822.23,0.12
12779.0,37,8,3981.36,0.1
12781.0,63,2,826.74,0.38
12782.0,4,5,2330.92,0.1
12783.0,1,6,2225.91,0.0
12784.0,8,2,574.42,0.77
12785.0,363,1,311.95,0.93
12787.0,9,3,463.66,0.34
12789.0,64,1,91.85,0.52
12790.0,191,1,324.92,0.96
12791.0,373,1,192.6,0.64
12792.0,256,1,400.54,0.51
12793.0,334,2,545.48,0.46
12794.0,52,2,860.41,0.18
12795.0,18,1,430.48,0.09
12797.0,365,1,254.03,0.8
12798.0,9,3,6977.04,0.17
12802.0,186,1,427.58,0.7
12808.0,36,3,483.65,0.21
12809.0,177,1,489.31,0.47
12811.0,260,3,514.85,0.29
12812.0,44,1,229.64,0.62
12814.0,101,1,125.92,0.71
12815.0,147,2,1063.46,0.81
12816.0,95,2,572.2,0.11
12817.0,280,1,166.04,0.16
12818.0,261,1,1542.08,0.6
12820.0,2,4,942.34,0.49
12821.0,213,1,92.72,0.88
12822.0,70,2,948.88,0.36
12823.0,74,5,1759.5,0.04
12824.0,59,1,397.12,0.09
12826.0,2,7,1474.72,0.14
12827.0,5,3,430.15,0.26
12828.0,2,6,1018.71,0.23
12829.0,336,2,293.0,0.57
12830.0,37,6,6814.64,0.44
12831.0,261,1,215.05,0.73
12832.0,31,2,383.03,0.42
12833.0,144,1,417.38,0.96
12834.0,282,1,312.38,0.89
12836.0,58,4,2612.86,0.28
12837.0,172,1,134.1,0.66
12838.0,33,2,683.13,0.43
12839.0,2,14,5591.42,0.0
12840.0,143,4,2726.77,0.17
12841.0,4,25,4022.35,0.0
12842.0,69,2,1118.99,0.59
12843.0,65,8,1702.26,0.08
12844.0,28,2,325.96,0.58
12845.0,266,4,354.09,0.64
12847.0,21,1,871.54,0.34
12849.0,30,2,1050.89,0.58
12851.0,96,1,135.18,0.99
12852.0,294,1,311.55,0.93
12853.0,134,6,1957.1,0.14
12854.0,78,3,1324.5,0.12
12855.0,372,1,38.1,0.52
12856.0,7,6,2179.93,0.01
12857.0,210,2,1106.4,0.6
12863.0,51,1,521.2,0.55
12864.0,137,1,147.12,0.81
12865.0,25,2,1568.23,0.6
12866.0,282,1,559.12,0.98
12867.0,25,7,4036.82,0.03
12868.0,185,6,1607.06,0.43
12871.0,83,2,380.64,0.58
12872.0,326,2,599.97,0.53
12873.0,281,1,374.0,0.73
12875.0,142,2,343.23,0.45
12876.0,57,2,2218.02,0.67
12877.0,3,12,1535.77,0.01
12878.0,235,2,854.99,0.5
12879.0,44,3,573.22,0.28
12881.0,275,1,298.0,0.78
12882.0,8,2,1463.04,0.42
12883.0,24,4,703.47,0.33
12884.0,87,1,309.05,0.51
12885.0,62,3,1175.22,0.04
12886.0,67,2,1378.4,0.19
12888.0,213,2,354.12,0.9
12890.0,23,1,380.47,0.74
12891.0,185,3,331.0,0.71
12893.0,30,1,188.14,0.55
12895.0,41,2,372.8,0.21
12897.0,204,2,216.5,0.61
12901.0,8,28,17654.54,0.0
12902.0,264,1,138.68,0.86
12904.0,17,2,509.58,0.35
12906.0,11,5,2919.81,0.01
12908.0,175,2,750.0,0.62
12909.0,39,5,2178.67,0.06
12910.0,22,8,3075.04,0.02
12912.0,2,5,1662.3,0.09
12913.0,4,5,2483.63,0.11
12915.0,148,2,363.65,0.81
12916.0,138,4,3006.15,0.39
12917.0,127,1,594.0,0.53
12919.0,7,6,1335.19,0.0
12920.0,16,1,164.23,0.82
12921.0,8,37,16587.09,0.0
12922.0,160,1,405.38,0.97
12923.0,63,1,176.97,0.52
12924.0,87,4,933.7,0.3
12925.0,4,2,694.05,0.33
12928.0,34,5,2062.7,0.18
12929.0,311,1,117.85,0.85
12930.0,77,2,415.8,0.34
12931.0,21,15,42055.96,0.0
12933.0,23,3,607.53,0.26
12935.0,1,7,2160.7,0.04
12936.0,16,4,1063.9,0.24
12937.0,14,4,1504.27,0.57
12938.0,25,1,114.14,0.33
12939.0,63,8,11581.8,0.05
12940.0,54,2,913.54,0.31
12942.0,130,3,683.9,0.16
12944.0,35,2,604.51,0.46
12945.0,287,1,462.95,0.68
12947.0,143,6,1603.99,0.22
12948.0,15,7,2064.95,0.03
12949.0,30,8,4167.22,0.06
12950.0,1,3,1843.0,0.11
12951.0,8,6,1064.07,0.22
12952.0,5,4,1387.79,0.15
12953.0,9,1,329.85,0.37
12955.0,0,11,4757.16,0.0
12956.0,305,1,108.07,0.84
12957.0,9,8,4017.54,0.15
12962.0,6,2,266.39,0.33
12963.0,7,8,1856.63,0.16
12965.0,88,1,771.91,0.53
12966.0,9,1,160.18,0.52
12967.0,357,2,1660.9,0.59
12968.0,111,1,135.95,0.35
12970.0,6,4,452.24,0.72
12971.0,3,86,11189.91,0.0
12974.0,197,1,144.8,0.59
12976.0,211,1,738.6,0.69
12977.0,155,1,39.24,0.36
12980.0,157,9,7374.9,0.46
12981.0,29,2,372.22,0.07
12982.0,242,1,390.54,0.65
12984.0,18,1,97.5,0.38
12985.0,0,2,1239.38,0.67
12987.0,73,2,558.7,0.41
12988.0,291,1,535.32,0.81
12989.0,2,15,6924.11,0.0
12990.0,30,3,409.5,0.55
12991.0,22,2,503.76,0.42
12993.0,22,4,414.76,0.84
12994.0,3,3,974.42,0.09
12995.0,84,1,211.32,0.64
12997.0,21,4,1226.89,0.0
12999.0,195,3,455.88,0.75
13000.0,106,3,534.85,0.35
13001.0,3,13,9818.82,0.0
13002.0,317,1,120.95,0.82
13003.0,105,3,149.05,0.73
13004.0,11,18,5655.91,0.0
13005.0,173,2,513.7,0.86
13006.0,55,1,81.57,0.94
13008.0,322,1,229.47,0.51
13011.0,371,1,50.55,0.92
13012.0,8,8,1661.84,0.04
13013.0,0,13,4810.94,0.0
13014.0,10,10,3466.28,0.0
13015.0,52,5,3346.28,0.13
13016.0,72,3,789.89,0.37
13017.0,6,1,204.0,0.38
13018.0,15,28,7277.7,0.0
13021.0,3,9,2616.38,0.0
13023.0,63,2,689.9,0.79
13026.0,0,5,975.36,0.31
13027.0,113,6,6912.0,0.31
13028.0,22,2,661.32,0.38
13029.0,30,3,1247.5,0.48
13030.0,10,2,799.48,0.16
13032.0,51,2,1010.18,0.6
13033.0,356,1,190.55,0.22
13034.0,54,2,642.77,0.63
13035.0,73,2,921.88,0.49
13037.0,137,3,881.07,0.16
13038.0,79,3,908.46,0.07
13040.0,8,2,676.99,0.67
13043.0,272,1,516.42,0.61
13044.0,290,1,560.47,0.83
13045.0,98,1,305.28,0.65
13046.0,30,2,629.31,0.21
13047.0,31,10,3237.54,0.01
13048.0,13,4,1835.91,0.72
13049.0,63,2,656.68,0.83
13050.0,14,17,5836.86,0.0
13052.0,211,1,348.15,0.94
13055.0,77,3,1214.41,0.05
13058.0,24,3,271.4,0.7
13059.0,249,1,183.4,0.73
13060.0,253,1,307.53,0.55
13061.0,71,1,248.61,0.74
13062.0,190,1,346.98,0.95
13064.0,12,4,1119.49,0.24
13065.0,372,1,205.86,0.7
13066.0,23,2,470.8,0.26
13067.0,81,1,115.46,0.41
13068.0,9,2,344.0,0.43
13069.0,0,24,4436.12,0.0
13070.0,191,1,228.8,0.68
13072.0,266,1,177.15,0.91
13075.0,129,1,919.61,0.57
13077.0,0,4,729.27,0.17
13078.0,2,26,12627.94,0.0
13079.0,3,5,220.1,0.74
13080.0,178,1,58.08,0.82
13081.0,11,11,28337.38,0.0
13082.0,125,9,3613.63,0.49
13083.0,3,2,303.75,0.52
13085.0,157,2,416.08,0.96
13089.0,2,97,58825.83,0.0
13090.0,8,14,8910.82,0.0
13091.0,27,1,345.82,0.29
13092.0,70,5,477.83,0.22
13093.0,275,8,7832.47,0.78
13094.0,20,12,1927.32,0.02
13095.0,70,1,74.4,0.73
13097.0,32,10,6010.42,0.0
13098.0,0,28,28882.44,0.0
13099.0,98,1,207.36,0.99
13101.0,233,1,101.19,0.85
13102.0,0,24,6424.09,0.0
13103.0,39,1,243.94,0.81
13104.0,2,6,1098.48,0.21
13106.0,132,1,76.5,0.96
13107.0,43,4,1531.62,0.11
13108.0,372,1,350.06,0.85
13109.0,59,2,786.54,0.32
13110.0,30,7,1488.67,0.07
13113.0,0,24,12245.96,0.0
13115.0,11,4,2294.78,0.23
13116.0,137,1,501.14,0.64
13117.0,21,8,984.91,0.14
13118.0,19,5,1197.81,0.05
13120.0,238,1,30.6,0.85
13121.0,268,1,283.73,0.41
13122.0,93,2,922.39,0.3
13124.0,89,3,3866.33,0.13
13126.0,4,8,2099.64,0.01
13127.0,77,1,259.17,0.57
13130.0,93,1,64.0,0.69
13131.0,22,3,1073.3,0.14
13132.0,261,1,77.3,0.89
13133.0,273,2,109.8,0.64
13134.0,85,4,1793.58,0.2
13135.0,196,1,3096.0,0.56
13136.0,55,5,2607.61,0.04
13137.0,10,8,3650.41,0.19
13138.0,21,6,962.39,0.46
13139.0,15,7,5064.94,0.04
13140.0,107,3,423.72,0.76
13141.0,84,5,2388.75,0.11
13142.0,18,1,307.09,0.21
13144.0,332,1,110.95,0.84
13145.0,39,4,618.52,0.44
13146.0,25,1,228.91,0.37
13147.0,9,4,712.8,0.26
13148.0,28,12,3707.12,0.09
13149.0,13,4,1676.06,0.85
13151.0,295,1,1257.87,0.58
13153.0,5,1,486.22,0.51
13155.0,32,4,971.76,0.06
13157.0,48,4,1741.22,0.14
13158.0,94,4,1201.06,0.06
13159.0,8,4,1437.85,0.22
13160.0,21,1,91.8,0.41
13161.0,312,1,112.75,0.83
13162.0,121,4,1688.29,0.16
13165.0,45,2,1021.48,0.59
13166.0,282,1,417.2,0.93
13167.0,18,4,791.33,0.13
13168.0,35,4,1319.19,0.11
13169.0,63,2,712.88,0.72
13170.0,26,1,116.01,0.26
13171.0,21,3,468.41,0.62
13173.0,3,2,353.65,0.26
13174.0,15,3,2817.03,0.2
13176.0,45,1,492.84,0.49
13177.0,64,1,282.45,0.79
13178.0,25,11,5725.47,0.0
13182.0,44,1,121.18,0.79
13183.0,7,9,3957.78,0.02
13184.0,14,10,1701.29,0.0
13185.0,267,1,71.4,0.95
13186.0,39,3,1575.89,0.52
13187.0,336,1,236.02,0.93
13188.0,10,1,114.6,0.4
13189.0,18,2,260.68,0.21
13192.0,94,2,911.94,0.47
13193.0,60,1,117.88,0.08
13194.0,135,1,60.7,0.87
13196.0,10,4,1797.78,0.41
13198.0,9,6,3401.24,0.26
13199.0,3,38,9817.12,0.0
13200.0,18,4,870.09,0.12
13203.0,9,4,869.46,0.1
13207.0,14,2,250.26,0.25
13208.0,58,6,1223.9,0.03
13209.0,29,8,5891.61,0.0
13210.0,93,1,353.48,0.37
13211.0,9,3,1197.42,0.86
13212.0,19,3,788.08,0.07
13213.0,56,5,1520.58,0.07
13216.0,267,1,333.74,0.32
13217.0,121,3,533.98,0.29
13218.0,126,1,62.64,0.95
13220.0,77,4,819.29,0.37
13221.0,239,2,847.41,0.45
13223.0,199,2,163.2,0.71
13224.0,59,2,2155.95,0.53
13225.0,2,7,6463.84,0.01
13226.0,272,1,108.21,0.33
13227.0,201,1,257.7,0.3
13228.0,80,1,358.0,0.87
13229.0,225,1,160.95,0.38
13230.0,3,14,2806.97,0.0
13232.0,12,7,1357.6,0.06
13233.0,73,2,605.12,0.74
13235.0,211,1,1031.07,0.84
13236.0,24,2,744.85,0.3
13238.0,16,4,700.73,0.49
13239.0,261,1,329.56,0.48
13240.0,95,4,663.65,0.5
13242.0,111,3,270.4,0.86
13243.0,202,1,600.07,0.96
13244.0,92,1,121.74,0.63
13245.0,50,1,430.5,0.62
13246.0,17,6,1987.3,0.03
13247.0,17,4,501.12,0.8
13248.0,124,2,465.68,0.69
13249.0,91,3,711.41,0.63
13253.0,156,2,1030.4,0.47
13255.0,8,2,399.51,0.36
13258.0,11,3,698.58,0.43
13259.0,61,1,292.32,0.57
13260.0,60,1,557.62,0.49
13261.0,268,2,944.1,0.51
13262.0,262,1,200.29,0.85
13263.0,0,35,7454.07,0.0
13265.0,52,5,2107.66,0.09
13266.0,10,12,3834.26,0.0
13267.0,2,19,4521.49,0.0
13268.0,17,11,3214.69,0.0
13269.0,0,15,5346.23,0.0
13270.0,365,1,590.0,0.84
13271.0,36,1,217.38,0.74
13272.0,30,2,276.56,0.2
13273.0,112,1,138.98,0.26
13276.0,63,2,590.93,0.69
13277.0,15,4,258.4,0.9
13278.0,40,1,542.73,0.61
13279.0,77,1,137.75,0.76
13280.0,121,3,814.86,0.65
13282.0,17,3,1132.14,0.14
13283.0,59,2,93.66,0.7
13284.0,330,1,201.19,0.67
13285.0,22,4,2709.12,0.13
13291.0,155,1,361.11,0.91
13292.0,38,2,578.94,0.58
13294.0,189,2,873.74,0.63
13295.0,359,1,201.2,0.67
13296.0,136,1,87.4,0.83
13297.0,7,4,2089.85,0.06
13298.0,0,1,360.0,0.62
13299.0,267,1,142.5,0.89
13300.0,168,1,371.89,0.84
13301.0,103,4,618.09,0.49
13302.0,154,1,63.75,0.62
13304.0,350,1,300.42,0.72
13305.0,3,10,2000.86,0.0
13307.0,119,1,15.0,0.5
13308.0,22,3,1385.51,0.27
13309.0,6,5,1456.79,0.25
13310.0,27,3,1132.03,0.19
13311.0,3,2,598.57,0.55
13313.0,21,5,1555.32,0.0
13314.0,1,3,775.94,0.09
13316.0,36,4,5977.73,0.05
13317.0,65,6,2273.68,0.05
13318.0,0,3,640.76,0.42
13319.0,4,26,10845.55,0.0
13320.0,77,4,1548.7,0.17
13321.0,71,2,567.36,0.23
13322.0,16,1,199.48,0.76
13323.0,2,5,787.85,0.32
13324.0,35,10,7121.95,0.09
13325.0,81,1,675.3,0.78
13327.0,38,8,3627.77,0.28
13328.0,315,1,1308.48,0.63
13329.0,31,2,789.0,0.23
13330.0,92,3,1140.93,0.27
13332.0,13,1,350.9,0.25
13334.0,81,3,3536.82,0.06
13336.0,76,1,795.12,0.42
13338.0,157,1,487.02,0.59
13339.0,200,1,860.12,0.44
13340.0,44,7,10736.48,0.04
13341.0,260,1,775.85,0.38
13343.0,177,1,353.43,0.79
13344.0,67,3,2543.72,0.12
13345.0,287,1,389.5,0.38
13347.0,69,1,341.36,0.9
13348.0,63,1,233.76,0.63
13349.0,10,1,247.32,0.6
13350.0,15,2,979.12,0.32
13351.0,65,1,373.94,0.53
13352.0,59,1,397.98,0.1
13354.0,70,1,743.53,0.59
13355.0,121,1,674.7,0.77
13356.0,79,1,768.24,0.53
13357.0,256,1,609.95,0.47
13358.0,268,1,439.03,0.25
13359.0,63,1,439.56,0.33
13362.0,8,4,3090.74,0.27
13363.0,17,2,992.5,0.51
13364.0,70,1,134.96,0.96
13365.0,33,2,2225.37,0.17
13366.0,49,1,56.16,0.88
13368.0,256,2,623.4,0.69
13369.0,365,1,308.28,0.89
13370.0,371,1,754.87,0.73
13372.0,89,1,378.64,0.7
13373.0,60,3,3312.25,0.49
13375.0,88,1,778.65,0.54
13376.0,98,3,1019.76,0.6
13379.0,25,3,572.56,0.5
13381.0,31,6,3639.31,0.3
13382.0,280,1,222.99,0.49
13384.0,30,7,4151.93,0.01
13385.0,329,1,534.57,0.81
13388.0,130,2,677.1,0.34
13389.0,10,3,797.96,0.17
13390.0,74,1,544.08,0.18
13391.0,203,1,59.8,0.81
13394.0,1,8,2520.02,0.01
13395.0,184,1,307.72,0.39
13396.0,28,2,1360.99,0.66
13397.0,72,5,1544.13,0.05
13398.0,191,1,457.34,0.56
13402.0,126,2,621.23,0.75
13403.0,17,1,75.0,0.7
13404.0,0,2,252.49,0.48
13405.0,73,3,572.45,0.16
13408.0,1,62,28117.04,0.0
13410.0,23,5,1003.06,0.1
13411.0,106,1,213.55,0.89
13414.0,133,3,1390.5,0.32
